,Date,Head,Text
134,14 May 2018,Ringgit improves to pre-GE 14 level ,KUALA LUMPUR: The ringgit recovered from the earlier jitters on Monday to trade near the same level as last Tuesday on the eve of the 14th General Election (GE14).
135,14 May 2018,Local bourse broadly higher at midday,"KUALA LUMPUR: The local market recovered from a sharp selldown in early morning trade, which saw the FBM KLCI plummet as much as 49 points before initiating a rebound."
136,14 May 2018,Foreign funds sold RM504.8mil on Bursa last week,"KUALA LUMPUR: Foreign funds remained in selling mode, offloading about RM500mil during the election-shortened week, according to MIDF Research. "
137,14 May 2018,Ringgit opens easier against US dollar,KUALA LUMPUR: The ringgit opened easier against the US dollar and other major currencies.
138,14 May 2018,CIMB sees risks to Proton turnaround plan,"KUALA LUMPUR: There may be potential risk to Proton's turnaround plan if the new government plans to review the Proton-Geely partnership, said CIMB Equities Research."
139,14 May 2018,"Ringgit falls early Monday, most in 18 months","KUALA LUMPUR: Malaysia’s ringgit declined as markets reopened after former prime minister Tun Dr Mahathir Mohamad led the opposition coalition to a surprise election victory last week, raising concerns over campaign promises to drop a consumption tax and bring back fuel subsidies."
140,14 May 2018,GLICs to continue role with greater transparency and good governance,KUALA LUMPUR: The role of government-linked investment companies (GLICs) in managing assets and public interest will continue with greater transparency and good governance.
141,13 May 2018,Bank Negara expects economy to remain strong post-election environment," KUALA LUMPUR: Bank Negara Malaysia expects Malaysia's economic outlook to remain strong despite the post-14th general election environment, given its resilient and robust financial system."
142,13 May 2018,Police deny raid on apartment belonging to Najib’s family,KUALA LUMPUR: City police chief Comm Datuk Seri Mazlan Lazim has denied a Reuters news report that police had raided a luxury apartment said to belong to family members of Datuk Seri Najib Tun Razak.
143,12 May 2018,Stocks on the radar,"IT IS safe to say that markets will tread in uncharted waters with Malaysia having a change in government for the first time in history,"
144,11 May 2018,Ringgit rebounds in offshore trade on smooth Pakatan takeover,"KUALA LUMPUR: Offshore forwards for the ringgit advanced, rebounding sharply from their lowest level since December, as the smooth takeover of the government by Pakatan Harapan following the coalition’s historic general election (GE) win soothed nervy investors."
145,11 May 2018,Dollar hovers below 2018 peak after softer US inflation,LONDON: The euro slipped on Friday as the dollar recovered following weaker than expected inflation data that appears to have stalled the greenback's recent rally to 2018 highs.
146,11 May 2018,"After GE14, Malaysian banking system remains resilient, says Moody's","KUALA LUMPUR: Following the shocking win by the Pakatan Harapan (HP) in Wednesday's 14th General Election, Moody’s Investors Service views the Malaysian banking system is resilient to market volatility, given the banks’ strong capital and liquidity buffers."
147,11 May 2018,Ringgit forwards firmer as Malaysia election shock subsides: FT,FORWARDS for Malaysia’s currency were firming up on Friday after touching their lowest level since December during Thursday’s session in the immediate wake of a historic general election.
148,11 May 2018," Affin Hwang Research upgrades consumer, autos, cautious on construction",KUALA LUMPUR: Affin Hwang Capital Research believes the newly formed government under Pakatan Harapan (PH) presents an opportunity as it is comprised of a group of senior ministers with strong credibility. 
149,11 May 2018,Mahathir's surprise return set to test ringgit traders' resolve,"KUALA LUMPUR: The surprise comeback of Tun Dr Mahathir Mohamad, Malaysia’s former prime minister who once imposed capital controls, is likely to halt a rally in Asia’s best-performing currency amid concerns pro-growth reforms will give way to populist campaign promises."
150,11 May 2018,‘Economy and finance are our main focus’,"PETALING JAYA: The economy, the country’s finances, the ringgit – and the Goods and Services Tax (GST). These will be the priorities of the new Federal Government under seventh Prime Minister, Tun Dr Mahathir Mohamad."
151,10 May 2018,"Bank Negara retains OPR at 3.25%, financial markets resilient",KUALA LUMPUR: The Monetary Policy Committee (MPC) of Bank Negara Malaysia has maintained the Overnight Policy Rate (OPR) at 3.25% at its meeting on Thursday.
152,10 May 2018,Bank Negara seen to keep interest rate on hold after surprise poll result,"KUALA LUMPUR: Malaysia’s central bank is set to keep interest rates unchanged on Thursday, providing policy stability after the shock election victory of Tun Dr Mahathir Mohamad."
153,10 May 2018,Asian stocks broadly rise but pain looms in Malaysia,"ASIA-PACIFIC stock markets continued this week’s gains early Thursday, helped by an overnight rally in the U.S. and fresh 3 ½-year highs for oil."
154,10 May 2018,"Stocks with Malaysian exposure hit on Singapore bourse, ringgit falls against US dollar",SINGAPORE: Stocks with Malaysian exposure were hit on Singapore bourse on Thursday morning (May 10) after Malaysia opposition's shock election win.
155,10 May 2018,Asia stocks rise as crude oil extends rally on Iran worries,"TOKYO: Asian stocks rose on Thursday, with energy shares leading the way as crude oil prices bolted higher after U.S. President Donald Trump's decision to pull out of a nuclear deal with Iran."
156,10 May 2018,Markets want soothing after Malaysia poll upset,"SINGAPORE: Malaysia's 92-year-old comeback kid has everything to prove. Tun Dr Mahathir Mohamad, a former prime minister, has won a bitterly contested election. "
157,10 May 2018,"Ringgit may be hit by bond outflows after GE14, says UBS","HONG KONG: The ringgit may weaken if foreign investors start selling Malaysian government bonds after the surprise election outcome, says Kelvin Tay, regional chief investment officer at UBS Wealth Management."
158,10 May 2018,"RHB Research sees electorate's new political maturity, but brace for market volatility","KUALA LUMPUR:  RHB Research Institute sees that after the political tsunami in the 14th General Election, there could be some volatility in the stock markets, a sell-off in the ringgit assets but it believes in the electorate's new political maturity."
159,10 May 2018,"Ringgit's Brexit moment, pain first gain later","SINGAPORE: Malaysia's election surprise is giving the ringgit its own Brexit moment, with the jump in US$/ringgit non-deliverable forwards (NDFs) showing foreigners weren't expecting a change of government."
160,10 May 2018," Ringgit likely to have short-term weakness after vote, MUFG says","SINGAPORE: The ringgit will experience short-term weakness as there’s going to be uncertainty in the new government led by Tun Dr Mahathir Mohamad as the campaign platform was different from Barisan Nasional, Sook Mei Leong, Asean head of global markets research at MUFG Bank, says in interview."
161,10 May 2018,Malaysian ringgit weakens offshore after opposition claims poll win,KUALA LUMPUR: Malaysia's currency weakened in offshore trading after the opposition claimed victory in Wednesday's general election.
162,10 May 2018,Election uncertainty weighs on market," Investors are getting nervous about Malaysia. In the offshore market, the ringgit exchange rate against the US dollar tumbled on Wednesday to its lowest level this year as early tally points to an election setback for Barisan Nasional."
163,10 May 2018,Double whammy for ringgit,PETALING JAYA: The ringgit has come under pressure due to political uncertainties arising from the developments in the 14th General Election (GE14).
164,9 May 2018,Malaysian palm oil price falls from 2-week high on weaker demand expectations,"KUALA LUMPUR: Malaysian palm oil futures rose to a two-week high in early trade on Tuesday, before falling back to end lower on speculation of weaker demand so far in May."
165,9 May 2018,Plan to set up vocational college in Pengerang,PENGERANG: The Government has agreed to set up a vocational college to train local youths in oil-and-gas-related (O&G;) courses in order for them to get jobs with companies operating at the integrated petrochemical complex here.
166,8 May 2018,Tin producer MSC posts lower Q1 earnings ,KUALA LUMPUR: Tin miner and metal producer Malaysia Smelting Corp Bhd (MSC) says the high cost of starting a new plant to impact its earnings this year.
167,8 May 2018,KLCI closes higher on local fund support ahead of GE14,"KUALA LUMPUR: Blue chips closed on a strong note on Tuesday, the eve of the closely-contested General Election, with local fund buying seen in key stocks including CIMB, Maybank and Axiata."
168,8 May 2018,"Bursa stages a rebound, led by CIMB, Nestle","KUALA LUMPUR: The local market rebounded in morning trade on Tuesday, ahead of polling for the general election the next day."
169,8 May 2018,Ringgit lower against a strengthening US$ due to monetary policy prospects,KUALA LUMPUR: The ringgit was slightly lower against the US dollar in early trade Tuesday as the greenback strengthened on monetary policy prospects arising from improving oil prices and disappointing US economic reports.
170,8 May 2018,"CIMB Research retains Add for DRB-Hicom, target price RM2.90",KUALA LUMPUR: CIMB Equities Research is retain its earnings forecast and Add call for DRB-Hicom with an unchanged sum-of-parts based target price of RM2.90.
171,8 May 2018,"Ringgit still has upside, says AmBank Research","KUALA LUMPUR: The ringgit still has its upside as it will benefit from the country’s strong linkage in the global supply chain amid robust global export volumes, says AmBank Research."
172,8 May 2018,Malaysian palm oil price chalks up biggest daily gain in four months,"KUALA LUMPUR: Malaysian palm oil futures clocked their highest daily gain in four months on Monday, tracking an uptrend in crude oil prices and supported by soyoil on the U.S. Chicago Board of Trade."
173,8 May 2018,Disruption affects tourism sector too,From MULTIANGLED VIEWS of Kuala Lumpur.
174,7 May 2018,Gabungan Sabah: GE14 is about the state’s rights,"KOTA KINABALU: For the people here, GE14 is about Sabah and not political rivalry, says Gabungan Sabah."
175,7 May 2018,"KLCI closes off low, CIMB, Maybank, Telekom weigh",KUALA LUMPUR: Blue chips closed off their intra-day low on Monday as investors stayed cautious ahead of the General Election on Wednesday while the broader market was also weaker.
176,7 May 2018,Zahid: Fight coastal erosion by preserving the environment,"BAGAN DATUK: Efforts to preserve the environment, especially to prevent coastal erosion nationwide, must be supported, says Datuk Seri Dr Ahmad Zahid Hamidi."
177,7 May 2018,Kinrara candidate's car plate number brings voters luck,"Whether DAP's Ng Sze Han can retain the Kinrara state seat remains to be seen, but his licence plate number has already brought luck to some voters and helped them win money."
178,7 May 2018,KLCI slips further as GE approaches,KUALA LUMPUR: Investors continued to wind down their investments on the local market ahead of the general election this Wednesday while trading volume remained tepid. 
179,7 May 2018,Out to win hearts and minds  ,"WITH polling just two days away, campaigning has intensified."
180,6 May 2018,Standing up for others ,"“Standing between authority and subject is always uncomfortable, often dangerous. But that is what we are trained to do.” - Pheroze Nowrojee, Kenyan human rights lawyer."
181,5 May 2018,Global Forex Market,THE US dollar rose 0.94% to close at 92.414 as markets were pricing in a June rate hike and looking for clues if there would be three or four rate hikes in 2018 ahead of the FOMC meeting.
182,4 May 2018,Firmer economic outlook fails to halt KLCI slide,"KUALA LUMPUR: Late selling of CIMB, Maybank and Public Bank saw the FBM KLCI closing down nearly 10 points as investors turned cautious in line with the key Asian markets and ahead of the 14th General Election."
183,4 May 2018,Ringgit lower against US$ on better demand for greenback,KUALA LUMPUR: The ringgit lower against the US dollar early friday due to better demand for the greenback.
184,4 May 2018,Malaysian palm oil price slides to 16-month low on weak demand,"KUALA LUMPUR: Malaysian palm oil futures slid to their lowest in over a year in late trade on Thursday, charting a sixth day of losses in eight, as traders turned bearish over weakening export demand."
185,4 May 2018,Once sleepy Kepala Batas now an educational hub and bustling township,IT is hard to believe that thefast-evolving Kepala Batas constituency on mainland Penang was once a sleepy one-street town in the 1970s.
186,3 May 2018,Higher input cost dents F&N Q2 net profit,"KUALA LUMPUR: Rising prices of commodities, from crude oil to milk, is putting the pressure on Fraser & Neave Holdings Bhd."
187,3 May 2018,"RAM Ratings sees better exports in March, trade surplus RM10.5b","KUALA LUMPUR: An improvement in external demand is expected to lift Malaysia's exports in March while trade surplus is forecast to to be RM10.5bil, says RAM Ratings."
188,3 May 2018,Bursa joins key Asian markets to close lower,"KUALA LUMPUR: Key Asian markets including Bursa Malaysia ended Thursday on a weaker note on concerns about the  Sino-US trade talks while on the home front, investors were staying on the sidelines ahead of the GE14."
189,3 May 2018,Small-cap stocks offer good investment potential ,"KUALA LUMPUR: The small capitalisation (small-cap) stocks in Malaysia have good potential to ride higher and are an attractive proposition for institutional and retail investors, backed by the country's strong economic fundamentals, high global oil prices and the ringgit recovery."
190,3 May 2018,Mah: Malaysia key beneficiary of FDI due to open economy,"KUALA LUMPUR: Malaysia has been the main beneficiary of inward foreign direct investments (FDI) in the region due to its open economy which results in new job creation, stellar economic growth, as well as driving valuable technology and skills transfer."
191,3 May 2018,KLCI bounces into positive territory by midday,KUALA LUMPUR: The local market picked up in the final hour of the morning session to return from negative territory.
192,3 May 2018,Ringgit lower against US$ on strong US economy and lack of local catalyst,KUALA LUMPUR: The ringgit opened slightly lower against the US dollar Thursday due to better demand for the greenback on the back of solid economic outlook for the world's biggest economy.
193,3 May 2018,Malaysian palm oil/Vegoils: Market factors to watch Thursday May 3,KUALA LUMPUR: The following factors are likely to influence Malaysian palm oil futures and other vegetable oil markets on Thursday May 3.
194,3 May 2018,Malaysian palm oil price pares gains after early rise as strength in related oils eases,"KUALA LUMPUR: Malaysian palm oil futures rose on the back of a weaker ringgit in its early session on Wednesday, but pared gains in the second half of trade as strength in related edible oils eased."
195,3 May 2018,Problems to surmount in crowded Bukit Gelugor,"OF the 13 parliamentary constituencies in Penang, Bukit Gelugor has the highest number of voters with 91,780 people."
196,2 May 2018,"KLCI closes down 18pts as Maxis, CIMB and Maybank weigh",KUALA LUMPUR: Blue chips closed on a weak note on Wednesday ahead of the 14th General Election on May 9 as investors decided to stay on the sidelines.
197,2 May 2018,Subra: Sedap will be good for Segamat,SEGAMAT: MIC president Datuk Seri Dr S. Subramaniam says the district here is on the fast track for development as outlined in the Segamat Economic Development Action Plan 2018-2023 (Sedap).
198,2 May 2018,"BNM to maintain OPR at 3.25%, US dollar/ringgit to trade at 3.90 and 3.91",PETALING JAYA: Bank Negara is expected to maintain its current 3.25% overnight policy rate (OPR) in the upcoming monetary policy meeting  on May 10 after raising the policy rate by 25 basis points in January.
199,2 May 2018,Bursa weighed down as investors practise caution,KUALA LUMPUR: Bursa Malaysia experienced a sharp selldown on Wednesday as investors made their retreat just one week ahead of polling day.
200,2 May 2018,Ringgit lower against US$ on solid US economic outlook and rising bond yields,KUALA LUMPUR: The ringgit was lower against the US dollar early Wednesday on better demand for the greenback in view of the solid economic outlook for the world's biggest economy and rising bond yields
201,2 May 2018,AmInvestment maintains buy on Luxchem,KUALA LUMPUR: AmInvestment Research reiterated its buy recommendation on Luxchem Corp Bhd with a lower fair value of 84 sen a share.
202,2 May 2018,"Malaysia's March exports likely up, imports down 3%",PETALING JAYA: Malaysia’s exports for the month of March will see a somewhat tepid recovery from the contraction seen in the previous month but indicators show that shipments may slow in the coming months.
203,1 May 2018,Najib: Don’t risk our solid economy,"SANDAKAN: Opting for the Opposition is high risk for our economy as Malaysia stands to lose internationally, said Prime Minister Datuk Seri Najib Tun Razak."
204,30 Apr 2018,Dr Wee: Poison pen letters being sent to Ayer Hitam voters,"YONG PENG:  The fighting for votes in GE14 has turned ugly with poison pen letters being sent to the addresses of voters in Ayer Hitam, says Datuk Seri Dr Wee Ka Siong.  "
205,30 Apr 2018,Najib: Malaysia stands to lose internationally if people vote for Opposition,"SANDAKAN: Malaysia stands to lose internationally if people opt for the Opposition, says Prime Minister Datuk Seri Najib Tun Razak.  "
206,30 Apr 2018," Lotte Chemical Q1 earnings hurt by margin squeeze, forex loss","KUALA LUMPUR: Lotte Chemical Titan Holding Bhd's earnings fell in the first quarter ended March 31, 2018 mainly due to margin squeeze and foreign exchange (forex) loss."
207,30 Apr 2018,KLCI chalks up mild gains at midday as Public Bank lifts,"KUALA LUMPUR: Blue chips advanced at midday on Monday, with the FBM KLCI supported by fund buying of Public Bank but the broader market and trading volume reflected the investors' lack of enthusiasm as the general mood was focused on the 14th General Election on May 9."
208,30 Apr 2018,Tough fight expected over city Malays in Titiwangsa,It's a three-cornered fight for the Malay-majority Titiwangsa parliamentary constituency in Kuala Lumpur.
209,28 Apr 2018,Malaysian palm oil price hits over one-week low ahead of industry data,"KUALA LUMPUR:Malaysian palm oil futures slipped for a fourth session in five on Friday evening after earlier trading in a range, as traders awaited upcoming industry data and forecasts from  leading analysts."
210,28 Apr 2018,David and Goliath battle shaping up ,"BINTULU: There is a David and Goliath battle shaping up in Bintulu with a 30-year-old first-timer from Sarawak DAP taking on a 56-year old, four-term MP who is a Barisan Nasional component party president and a powerful business tycoon."
211,27 Apr 2018,"Axiata, Maybank, Genting power KLCI higher","KUALA LUMPUR: Bursa Malaysia joined the other key Asian markets to close higher on Friday, as a rebound in Axiata, Maybank and Genting shored up the FBM KLCI. Trading volume was relatively subdued ahead of the General Election 14 on May 9."
212,27 Apr 2018,Unisem group MD John Chia ups stake during selldown,"KUALA LUMPUR: Chipmaker Unisem (M) Bhd, which saw its shares hammered down after announcing a disappointing set of results in the first quarter ended March 31, 2018, saw its top official buying shares from the open market."
213,27 Apr 2018,"KLCI tracks global rebound, sees thin volume ",KUALA LUMPUR: The local bourse continued its rebound on muted trading volume as investors tracked global sentiment but remained on the sidelines as the general election drew near.
214,27 Apr 2018,Ringgit continues to be easier against US$ which is on a bullish testing level,"KUALA LUMPUR: The ringgit was easier against the US dollar early Friday as the greenback was on a bullish testing level, after registering higher US Treasury yields, a dealer said."
215,27 Apr 2018,Malaysian palm oil price drops to one-week low on slowing demand,"KUALA LUMPUR: Malaysian palm oil futures ended lower on Thursday evening, having slipped to the bottom of their recent trading range, as weakening demand kept the tone bearish."
216,27 Apr 2018,Texchem Q1 losses widen to RM2mil,"PETALING JAYA: Texchem Resources Bhd’s losses widened to RM2.01mil in its first quarter ended March 31, 2018 from RM575,000 in the previous corresponding period, due to weaker performances from its food and polymer engineering divisions."
217,26 Apr 2018,"Relief rebound fizzles out on Bursa after China, HK fall",KUALA LUMPUR: Bursa Malaysia's relief rebound fizzled out on Thursday after China and Hong Kong markets fell on resurging worries of a US-China trade war.
218,26 Apr 2018,"Stronger ringgit, lower commodity prices to boost Nestle's FY18 earnings","KUALA LUMPUR: Nestle (Malaysia) Bhd is looking at increased earnings this year on the back of a stronger ringgit, lower commodity prices and improved efficiency at its factories."
219,26 Apr 2018,KLCI sees relief rebound after four consecutive sessions of losses,"KUALA LUMPUR: The FBM KLCI found its support above the key level of 1,850 in the previous session, paving the way for a rebound on Thursday morning. "
220,26 Apr 2018,"Ringgit extends losses, seen to continue trading 'defensively'","KUALA LUMPUR: The ringgit extended losses from yesterday to be lower against the US dollar early Thursday, as the greenback continues to strengthen on the back of rising US bond yields."
221,26 Apr 2018,Affin Hwang maintains buy on Bursa Malaysia,KUALA LUMPUR: Affin Hwang Capital Research maintained its buy call and target price of RM8 on Bursa Malaysia Bhd as the stock exchange's 1Q net profit of RM63.8mil came in within its and consensus expectations.
222,26 Apr 2018,Winners and losers from higher oil prices by CIMB Research,"KUALA LUMPUR: CIMB Equities Research believes that a rising oil price trend will be positive for all oil and gas stocks, either directly via exposure to higher selling prices of crude oil and oil products."
223,26 Apr 2018,Malaysia should look beyond ringgit to draw Chinese to sukuk market,"KUALA LUMPUR: Malaysia's Islamic bond market could attract Chinese companies if there were more foreign currency-denominated issues, a chief investment officer at fund manager Franklin Templeton Investments said."
224,26 Apr 2018,CPO closes flat after range-trading on weak export data,"KUALA LUMPUR: Malaysian palm oil futures ended flat on Wednesday evening, previously charting two earlier sessions of declines, as it traded in a tight range due to lacklustre export data."
225,26 Apr 2018,UMW to divest remaining O&G business by year-end,"PETALING JAYA: UMW Holdings Bhd expects its aerospace component manufacturing plant in Serendah, Selangor, to reach full production in three years’ time."
226,25 Apr 2018,"Broad selling across Bursa Malaysia, KLCI down 13 points",KUALA LUMPUR: Bursa Malaysia ended the day in the red on Wednesday with selling pressure seen across the board in line with the weak performance of its regional peers.
227,25 Apr 2018,Unisem PDT and IDSS trading to be suspended for rest of day ,"KUALA LUMPUR: Unisem (M) Bhd, which plunged 17%, the biggest move since the company IPO in 1998, will see its proprietary day traders (PDT) and intraday short selling (IDSS) activities suspended for the rest of today."
228,25 Apr 2018,Selldown continues on Bursa as US bond yields rise,"KUALA LUMPUR: Concerns mounted on Wednesday as US treasury yields touched 3%, driving Asian equity markets lower on Wednesday."
229,25 Apr 2018,Ringgit opens lower against US dollar,"KUALA LUMPUR: The ringgit opened marginally lower against the US dollar today on deterioration of risk sentiment, said dealers."
230,25 Apr 2018,Unisem shares slump to 2-year low after disappointing earnings,"KUALA LUMPUR: Unisem (M) Bhd shares have hit a two-year low after first-quarter results slumped 87% with unfavourable exchange rate, lower margins."
231,25 Apr 2018,"Trading ideas: Unisem, Globetronics, CMMT, Minetech, Takaful Malaysia","KUALA LUMPUR: JF Apex Research expects Unisem (M) Bhd, Globetronics Technology Bhd, CapitaLand Malaysia Mall Trust (CMMT), Minetech Resources Bhd and Syarikat Takaful Malaysia Bhd to attract trading interest today."
232,25 Apr 2018,AmBank remains cautious on bond market ,KUALA LUMPUR: AmBank Group Research has maintained its cautious view on the bond market as market turbulence will continue to add pressure to global inflation.
233,25 Apr 2018,UMW to divest remaining O&G business by year-end,"PETALING JYA: UMW Corp Bhd expects its aerospace component manufacturing plant in Serendah, Selangor, to reach full production in three years."
234,25 Apr 2018,CIMB Research retains Add for Unisem but lowers target price,KUALA LUMPUR: CIMB Equities Research is retaining its Add rating for semicon company Unisem but cut its target price from RM3.60 to RM2.50 due to the weak investor sentiment and rising market volatility.
235,25 Apr 2018,Malaysian palm oil price hits one-week low on overnight US soyoil losses,"KUALA LUMPUR: Malaysian palm oil futures dipped on Tuesday evening, hitting their lowest in a week and tracking overnight losses in related edible oils such as soyoil on the U.S. Chicago Board of Trade and China's Dalian Commodity Exchange"
236,25 Apr 2018,Oil prices at fresh highs,"PETALING JAYA: Oil prices continued to climb to a near 3½-year high, crossing the US$75 per barrel mark on expectations of lower supply."
237,24 Apr 2018,Unisem expects performance to improve after weak start,"KUALA LUMPUR: Unisem (M) Bhd, a semiconductor assembly and test company, says Q1 earnings plunged on stronger ringgit and weaker margin."
238,24 Apr 2018,"Memory of record close for KLCI fades, ends at Tuesday low","KUALA LUMPUR: Just last Thursday on April 19, the FBM KLCI closed at a record high of 1,895 but this seems like a fading memory for investors."
239,24 Apr 2018,What do rising US bond yields mean for emerging markets?,"This time around, the greenback is strengthening in tandem with the bond yields"
240,24 Apr 2018,Bursa worst performer among key Asian markets as telcos fall,"KUALA LUMPUR: Bursa Malaysia was the weakest performer among the key Asian market at midday on Tuesday, with the FBM KLCI down nearly 10 points, weighed by losses in telco stocks while Press Metal came under pressure again."
241,24 Apr 2018,Hundreds of job seekers fleeced by fake employment agents,MIRI: More than 100 people have lodged reports at the Miri Central police station after they were allegedly cheated by fake employment agents.
242,24 Apr 2018,Ringgit easier against US$ on higher US Treasury yields,"KUALA LUMPUR: The ringgit was easier against the US dollar early Tuesday on the back of higher US Treasury yields, a dealer said."
243,24 Apr 2018,Palm oil dips on weaker demand and US soyoil losses,"KUALA LUMPUR: Malaysian palm oil futures declined on Monday evening, charting a second session of decline in three, as the market was pulled down by weaker demand and overnight losses in U.S. soyoil."
244,23 Apr 2018,"KLCI closes lower as Maybank, PetGas, CIMB slip",KUALA LUMPUR: Bursa Malaysia joined most key Asian markets to end Monday on a cautious note as they remained wary following the rise in US Treasury yields which rose to the highest since Janaury 2014.
245,23 Apr 2018,Ringgit weighed by election risk,"KUALA LUMPUR: The ringgit opened marginally lower against the US dollar today on a lack of market demand, a dealer said."
246,23 Apr 2018,Instilling saving habit among schoolchildren,"BATU PAHAT: SK Sri Pandan pupils got a head start in their journey on financial education, when investment holding company MNRB Holdings Berhad organised its one-day event “MNRB Ringgit Savvy” at the school."
247,22 Apr 2018,Long wait for Malay momentum ,PAS has been drawing big crowds for its event while Pakatan Harapan is still trying to convince voters that a Malay tsunami is on the way.
248,21 Apr 2018,Ringgit to maintain range-bound trading next week,"KUALA LUMPUR: The ringgit is expected to trade similarly to this week's narrow range pattern of between 3.88 and 3.91 against the US dollar next week, said a dealer."
249,21 Apr 2018,Bursa Malaysia to trend higher next week,"KUALA LUMPUR: Bursa Malaysia is expected to trend higher next week with the composite index likely to breach the 1,900 level amid volatile trading, said Inter-Pacific Securities Sdn Bhd Head of Research, Pong Teng Siew."
250,21 Apr 2018,"Malaysian palm oil price edges up on stronger crude oil, profit taking","KUALA LUMPUR: Malaysian palm oil futures made gains on Friday evening, their first in three sessions, tracking strength in crude oil prices and as the market saw profit taking in evening trade."
251,21 Apr 2018,Short Position,ONE topic that rarely gets mentioned like it used to a few months ago is Malaysia’s foreign exchange (forex) reserves.
252,20 Apr 2018, RAM Ratings: UMW performance to improve over next three years,"KUALA LUMPUR: UMW Holdings Bhd, which recorded narrower pre-tax losses in its financial year ended Dec 31, 2017, could report an improvement in its operating performance over the next three years, says RAM Ratings."
253,20 Apr 2018,Local market takes breather after previous session rally,KUALA LUMPUR: The local bourse saw some profit-taking following the previous session's strong push towards a new historical high on the benchmark FBM KLCI.
254,20 Apr 2018,"CIMB Research retains Underweight on auto sector, DRB-Hicom top pick",KUALA LUMPUR: CIMB Equities Research is maintaining its Underweight call on the automobile sector due to persistent weakness in consumer sentiment and potential margin erosion from higher operating expenditure (opex) and intense competition. 
255,20 Apr 2018,Malaysian palm oil price declines on weaker demand growth outlook,"KUALA LUMPUR: Malaysian palm oil futures declined on Thursday evening, with the market weighed down by forecasts of slowing demand growth ahead of a data release by cargo surveyors on Friday."
256,20 Apr 2018,Supply base to be built in Bintulu for O&G industry,Wharf planned under first phase costing RM300mil
257,19 Apr 2018,"KLCI closes at all-time high of 1,895 ahead of GE14","KUALA LUMPUR: Fund buying of banks, Petronas-linked stocks and Press Metal saw the FBM KLCI closing at an all-time high of 1,895.18 on Thursday ahead of the General Election 14 on May 9."
258,19 Apr 2018,KLCI approaches historical high amid commodities rally,KUALA LUMPUR: The local bourse continued its uptrend along with most other Asian markets as a rally in commodities prices helped lift sentiment in the region.
259,19 Apr 2018,Bullish bets on most Asian currencies rolled back as dollar perks up,"BENGALURU: Investors trimmed their long positions in most emerging Asian currencies in the last two weeks, a Reuters poll showed, as the dollar bounced back amid improving appetite for riskier assets and upbeat U.S. economic data."
260,19 Apr 2018,Ringgit opens slightly higher against US dollar,KUALA LUMPUR: The ringgit opened slightly higher against the US dollar today supported by mild buying amid the positive local economy and higher global oil prices.
261,19 Apr 2018,AmBank Research expects inflation to rise gradually,KUALA LUMPUR: AmBank Research expects inflation to rise gradually driven by firmer commodities prices and tighter labour market conditions which should result in firmer wages and better disposable spending by households. 
262,19 Apr 2018,Malaysian palm oil price closes flat after recouping early losses,KUALA LUMPUR: Malaysian palm oil futures closed flat on Wednesday as short covering in the second half of trade helped the market recover from losses earlier in the day.
263,19 Apr 2018,ECRL project expected to create jobs and contracts for Malaysians,PETALING JAYA: The multibillion ringgit East Coast Rail Link (ECRL) project is expected to benefit the local economy through contracts awarded to Malaysian companies and jobs created.
264,18 Apr 2018,"Telcos, banks weigh on KLCI, KESM top loser after downgrade","KUALA LUMPUR: Blue chips closed slightly lower on Wednesday, weighed down by telcos and banks while semiconductor-related KESM fell the most after it was downgraded."
265,18 Apr 2018,Foreign holdings of bonds record RM2.9b net inflow in March,"KUALA LUMPUR: Foreign holdings of Malaysian bonds recorded a net inflow of RM2.9bil in March, of which around 72.2% of total inflows were shorter-term papers. "
266,18 Apr 2018,KLCI sees early profit-taking after recent gains,KUALA LUMPUR: The local equities market took a breather on Wednesday after seeing gains over the last two trading sessions. 
267,18 Apr 2018,"Market volatility presents trading opportunities, says RHB","KUALA LUMPUR: Although the 14th general election (GE14) is a significant overhang for the economy and markets, volatility can still present trading opportunities due to the nation’s solid economy, earnings growth as well as pent-up demand post-election."
268,18 Apr 2018,"AmBank Research positive on ringgit, rupee, rupiah","KUALA LUMPUR: AmBank Research is positive on the Asian foreign exchange for 2018 though the key risks include a jump in the US wages and inflation, trade wars and protectionism as well as a reversal in the weak US dollar (US$) trend. "
269,18 Apr 2018,Ringgit gets boost from firmer economic outlook,"KUALA LUMPUR: The ringgit opened higher against the US dollar on Wednesday on continued buying momentum for the local note, supported by the positive Malaysian economy, a dealer said."
270,18 Apr 2018,Affin Hwang mantains buy on FGV ,"KUALA LUMPUR: Felda Global Ventures Holdings Bhd's plantation division earnings are expected to continue growing in 2018-20E on the back of rising fresh fruit bunch (FFB) and crude palm oil (CPO) production, said Affin Hwang Capital Research."
271,18 Apr 2018,"CIMB Research downgrades KESM to Hold, lower target price",KUALA LUMPUR: CIMB Equities Research has downgraded KESM Industries from Add to Hold with a lower RM19.60 target price from RM22. 
272,18 Apr 2018,"Palm gains over 1 pct on profit taking, stronger US soyoil","KUALA LUMPUR: Malaysian palm oil futures rebounded from losses to gain over 1 percent at the end of the trading day on Tuesday, snapping six days of losses, lifted by profit-taking and gains in soyoil on the Chicago Board of Trade (CBOT)."
273,18 Apr 2018,EPF outsourced RM114.56bil to external managers last year,"PETALING JAYA: The Employees Provident Fund (EPF) outsourced RM114.56bil to external portfolio managers last year, an increase of almost 10% from 2016."
